word,classification,confidence,reason
हाँ,incorrect spelling,low,"Not in dictionary, not transliterated English"
हम्म,incorrect spelling,low,"Not in dictionary, not transliterated English"
अगर,incorrect spelling,low,"Not in dictionary, not transliterated English"
आपको,incorrect spelling,low,"Not in dictionary, not transliterated English"
चीज,incorrect spelling,low,"Not in dictionary, not transliterated English"
टाइम,incorrect spelling,low,"Not in dictionary, not transliterated English"
क्योंकि,incorrect spelling,low,"Not in dictionary, not transliterated English"
ठीक,incorrect spelling,low,"Not in dictionary, not transliterated English"
हूँ,incorrect spelling,low,"Not in dictionary, not transliterated English"
जाते,incorrect spelling,low,"Not in dictionary, not transliterated English"
थोड़ा,incorrect spelling,low,"Not in dictionary, not transliterated English"
उसको,incorrect spelling,low,"Not in dictionary, not transliterated English"
उसमें,incorrect spelling,low,"Not in dictionary, not transliterated English"
आपने,incorrect spelling,low,"Not in dictionary, not transliterated English"
"है,",incorrect spelling,low,"Not in dictionary, not transliterated English"
आपके,incorrect spelling,low,"Not in dictionary, not transliterated English"
हमारा,incorrect spelling,low,"Not in dictionary, not transliterated English"
कैसे,incorrect spelling,low,"Not in dictionary, not transliterated English"
आपका,incorrect spelling,low,"Not in dictionary, not transliterated English"
उनको,incorrect spelling,low,"Not in dictionary, not transliterated English"
टॉपिक,incorrect spelling,low,"Not in dictionary, not transliterated English"
अच्छे,incorrect spelling,low,"Not in dictionary, not transliterated English"
ह्म्म,incorrect spelling,low,"Not in dictionary, not transliterated English"
वहाँ,incorrect spelling,low,"Not in dictionary, not transliterated English"
आता,incorrect spelling,low,"Not in dictionary, not transliterated English"
इतना,incorrect spelling,low,"Not in dictionary, not transliterated English"
खाना,incorrect spelling,low,"Not in dictionary, not transliterated English"
चीजें,incorrect spelling,low,"Not in dictionary, not transliterated English"
पसंद,incorrect spelling,low,"Not in dictionary, not transliterated English"
उसका,incorrect spelling,low,"Not in dictionary, not transliterated English"
मिल,incorrect spelling,low,"Not in dictionary, not transliterated English"
दोस्त,incorrect spelling,low,"Not in dictionary, not transliterated English"
सारे,incorrect spelling,low,"Not in dictionary, not transliterated English"
आपकी,incorrect spelling,low,"Not in dictionary, not transliterated English"
वैसे,incorrect spelling,low,"Not in dictionary, not transliterated English"
सारी,incorrect spelling,low,"Not in dictionary, not transliterated English"
वगैरह,incorrect spelling,low,"Not in dictionary, not transliterated English"
ऐसी,incorrect spelling,low,"Not in dictionary, not transliterated English"
बच्चे,incorrect spelling,low,"Not in dictionary, not transliterated English"
याद,incorrect spelling,low,"Not in dictionary, not transliterated English"
बोल,incorrect spelling,low,"Not in dictionary, not transliterated English"
देखा,incorrect spelling,low,"Not in dictionary, not transliterated English"
खुद,incorrect spelling,low,"Not in dictionary, not transliterated English"
पूरा,incorrect spelling,low,"Not in dictionary, not transliterated English"
लेते,incorrect spelling,low,"Not in dictionary, not transliterated English"
कौन,incorrect spelling,low,"Not in dictionary, not transliterated English"
देख,incorrect spelling,low,"Not in dictionary, not transliterated English"
मैम,incorrect spelling,low,"Not in dictionary, not transliterated English"
हेलो,incorrect spelling,low,"Not in dictionary, not transliterated English"
"हैं,",incorrect spelling,low,"Not in dictionary, not transliterated English"
